provincia_reserva,concepto,filtrado,categoria
UCAM CAG a Grado de Infantil,admision,CAG a Grado de Infantil,cag
CAG a Grado de Infantil (desde Infantil o EGB Pre-escolar),admision,CAG a Grado de Infantil (desde Infantil o EGB Pre-escolar),cag
UCAM CAG a Grado de Primaria,admision,CAG a Grado de Primaria,cag
CAG a Grado de Primaria (desde Primaria o EGB),admision,CAG a Grado de Primaria (desde Primaria o EGB),cag
Grado de Infantil (desde Grado en Primaria -no para Diplomados en Primaria-),admision,Grado de Infantil (desde Grado en Primaria -no para Diplomados en Primaria-),cruzado
CEIE Grado de Infantil (desde Grado en Primaria),admision,Grado de Infantil (desde Grado en Primaria),cruzado
UNIDAM Grado de Infantil desde Diplomatura/Grado de Primaria,admision,Grado de Infantil desde Diplomatura/Grado de Primaria,cruzado
Nebrija Grado de Infantil desde Grado de Primaria,admision,Grado de Infantil desde Grado de Primaria,cruzado
Grado de Primaria (desde Grado en Infantil -no para Diplomados en Infantil,admision,Grado de Primaria (desde Grado en Infantil -no para Diplomados en Infantil,cruzado
Grado de Primaria (desde Grado en Infantil -no para Diplomados en Infantil,admision,Grado de Primaria (desde Grado en Infantil -no para Diplomados en Infantil,cruzado
Grado de Primaria (desde Grado en Infantil -no para Diplomados en Infantil-),admision,Grado de Primaria (desde Grado en Infantil -no para Diplomados en Infantil-),cruzado
Grado de Primaria (desde Grado en Infantil-no para Diplomados en Infantil-),admision,Grado de Primaria (desde Grado en Infantil-no para Diplomados en Infantil-),cruzado
Grado de Primaria (desde Infantil),admision,Grado de Primaria (desde Infantil),cruzado
UNIDAM Grado de Primaria desde Diplomatura/Grado de Infantil,admision,Grado de Primaria desde Diplomatura/Grado de Infantil,cruzado
Grado de Primaria desde Grado de Infantil,admision,Grado de Primaria desde Grado de Infantil,cruzado
Nebrija Grado de Primaria desde Grado de Infantil,admision,Grado de Primaria desde Grado de Infantil,cruzado
UNAM Grado de Primaria (desde Diplomatura en Infantil),admision,UNAM Grado de Primaria (desde Diplomatura en Infantil),cruzado
UNIDAM Curso de Acceso para mayores de 25 años,admision,Curso de Acceso para mayores de 25 años,curso mayores
UNIDAM Grado de Infantil desde FP,admision,Grado de Infantil desde FP,infantil desde TSI
UNIDAM Grado de Infantil para Técnico Sup. en Infantil,admision,Grado de Infantil para Técnico Sup. en Infantil,infantil desde TSI
Nebrija Grado de Ed. Infantil para Técnico Sup. en Infantil,admision,Grado Infantil para Técnico Sup. en Infantil,infantil desde TSI
Grado de Ed. Infantil para Técnico Sup. en Infantil (2 años),admision,Grado Infantil para Técnico Sup. en Infantil (2 años),infantil desde TSI
CEIE Grado de Logopedia para titulados,admision,Grado de Logopedia para titulados,logopedia para titulados
UNIDAM Grado de Infantil Primer Curso,admision,Grado de Infantil Primer Curso,magisterio sin titulacion
UNIDAM Grado de Infantil desde infantil (no finalizado),admision,Grado de Infantil desde infantil (no finalizado),magisterio sin finalizar
Máster en Enseñanza Bilingüe (Oficial),admision,Máster en Enseñanza Bilingüe (Oficial),master educacion
Master Oficial Dirección y Gestión para la Calidad de Centros Educativos,admision,Master Oficial Dirección y Gestión para la Calidad de Centros Educativos,master educacion
Máster Universitario en Atención a la Diversidad Educativa y Necesidades Educativas Especiales,admision,Máster Universitario en Atención a la Diversidad Educativa y Necesidades Educativas Especiales,master educacion
Máster Universitario en Atención Temprana,admision,Máster Universitario en Atención Temprana,master educacion
Máster Universitario en Competencias Docentes,admision,Máster Universitario en Competencias Docentes,master educacion
Máster Universitario en Desarrollo del Lenguaje y Dificultades de Comunicación,admision,Máster Universitario en Desarrollo del Lenguaje y Dificultades de Comunicación,master educacion
Máster Universitario en Dirección y Transformación Digital de Centros Educativos,admision,Máster Universitario en Dirección y Transformación Digital de Centros Educativos,master educacion
Máster Universitario en Educación Bilingüe,admision,Máster Universitario en Educación Bilingüe,master educacion
Máster Universitario en Enseñanza de Español para Extranjeros,admision,Máster Universitario en Enseñanza de Español para Extranjeros,master educacion
